Timestamp UNIX,Timestamp Local, X,Y, Left Pupil Diameter, Right Pupil Diameter, Left Eye Openness, Right Eye Openness, Gaze on Left, Gaze on Middle, Gaze on Right
'1731039852520,'2024-11-08 15:24:12.520,0,200,-1,-1,-1,-1,0,0,0
'1731039852537,'2024-11-08 15:24:12.537,0,200,-1,-1,-1,-1,0,0,0
'1731039852545,'2024-11-08 15:24:12.545,0,200,-1,-1,-1,-1,0,0,0
'1731039852554,'2024-11-08 15:24:12.554,0,200,-1,-1,-1,-1,0,0,0
'1731039852562,'2024-11-08 15:24:12.562,0,200,-1,-1,-1,-1,0,0,0
'1731039852615,'2024-11-08 15:24:12.615,0,200,-1,-1,-1,-1,0,0,0
'1731039852623,'2024-11-08 15:24:12.623,0,200,-1,-1,-1,-1,0,0,0
'1731039852639,'2024-11-08 15:24:12.639,0,200,-1,-1,-1,-1,0,0,0
'1731039852648,'2024-11-08 15:24:12.648,0,200,-1,-1,-1,-1,0,0,0
'1731039852656,'2024-11-08 15:24:12.656,0,200,-1,-1,-1,-1,0,0,0
'1731039852665,'2024-11-08 15:24:12.665,0,200,-1,-1,-1,-1,0,0,0
'1731039852682,'2024-11-08 15:24:12.682,0,200,-1,-1,-1,-1,0,0,0
'1731039852690,'2024-11-08 15:24:12.690,0,200,-1,-1,-1,-1,0,0,0
'1731039852698,'2024-11-08 15:24:12.698,0,200,-1,-1,-1,-1,0,0,0
'1731039852708,'2024-11-08 15:24:12.708,0,200,-1,-1,-1,-1,0,0,0
'1731039852725,'2024-11-08 15:24:12.725,0,200,-1,-1,-1,-1,0,0,0
'1731039852734,'2024-11-08 15:24:12.734,0,200,-1,-1,-1,-1,0,0,0
'1731039852743,'2024-11-08 15:24:12.743,0,200,-1,-1,-1,-1,0,0,0
'1731039852760,'2024-11-08 15:24:12.760,0,200,-1,-1,-1,-1,0,0,0
'1731039852768,'2024-11-08 15:24:12.768,0,200,-1,-1,-1,-1,0,0,0
'1731039852777,'2024-11-08 15:24:12.777,0,200,-1,-1,-1,-1,0,0,0
'1731039852785,'2024-11-08 15:24:12.785,0,200,-1,-1,-1,-1,0,0,0
